Date,Open,High,Low,Close,Volume
2015-07-20,273.18,278.85,271.82,277.68,46596.58
2015-07-21,277.68,281.05,274.19,275.09,49054.44
2015-07-22,275.09,277.39,273.12,276.46,41969.04
2015-07-23,276.46,277.85,274.47,275.52,35661.27
2015-07-24,275.52,289.81,274.26,288.37,74359.53
2015-07-25,288.37,291.24,284.67,288.74,41648.34
2015-07-26,288.74,293.28,286.77,291.77,30991.92
2015-07-27,291.77,295.79,285.4,293.01,69710.58
2015-07-28,293.01,296.68,291.67,293.7,49065.8
2015-07-29,293.7,294.72,286.89,288.37,50673.64
2015-07-30,288.37,289.89,284.91,287.02,44792.49
2015-07-31,287.02,288.69,280.77,283.73,49212.01
2015-08-01,283.73,284.53,276.3,280.47,39426.68
2015-08-02,280.47,282.5,275.93,281.36,35672.07
2015-08-03,281.36,285.0,278.94,281.58,45894.1
2015-08-04,281.58,285.66,279.58,284.3,44841.21
2015-08-05,284.3,285.45,280.53,281.72,38285.97
2015-08-06,281.72,281.98,276.46,278.0,33261.93
2015-08-07,278.0,279.6,274.28,277.89,42811.69
2015-08-08,277.89,278.92,257.42,258.6,82543.32
2015-08-09,258.6,266.75,258.56,263.87,57475.12
2015-08-10,263.87,266.63,260.52,263.3,48569.01
2015-08-11,263.3,269.9,261.44,269.03,51361.8
2015-08-12,269.03,271.5,263.66,267.66,56734.31
2015-08-13,267.66,268.39,261.28,263.44,56486.75
2015-08-14,263.44,267.22,260.21,265.03,52327.95
2015-08-15,265.03,266.55,259.38,260.52,38905.99
2015-08-16,260.52,261.92,254.57,257.12,69037.08
2015-08-17,257.12,259.93,252.87,257.13,47882.96
2015-08-18,257.13,257.53,245.74,246.72,94503.04
2015-08-19,246.72,247.95,214.29,226.0,245822.71
2015-08-20,226.0,238.03,225.54,234.66,90981.27
2015-08-21,234.66,236.3,230.48,232.4,57649.08
2015-08-22,232.4,235.07,221.04,229.54,74205.5
2015-08-23,229.54,232.7,224.27,226.75,48840.79
2015-08-24,226.75,228.43,207.82,211.43,196695.2
2015-08-25,211.43,226.55,196.26,220.51,190793.65
2015-08-26,220.51,230.69,218.79,224.97,92812.47
2015-08-27,224.97,228.44,222.0,222.73,60246.06
2015-08-28,222.73,234.81,219.6,231.64,90660.85
2015-08-29,231.64,233.09,226.35,228.5,43740.08
2015-08-30,228.5,232.32,225.44,228.4,39808.01
2015-08-31,228.4,231.79,224.2,229.47,54507.28
2015-09-01,229.47,231.45,225.76,227.18,66543.6
2015-09-02,227.18,230.59,225.57,228.63,58765.75
2015-09-03,228.63,229.62,225.36,226.2,54150.19
2015-09-04,226.2,231.06,225.75,230.25,61762.93
2015-09-05,230.25,235.61,228.29,233.67,48280.18
2015-09-06,233.67,243.64,234.74,239.86,66271.08
2015-09-07,239.86,242.66,237.49,239.58,57187.93
2015-09-08,239.58,246.38,239.23,243.24,76353.97
2015-09-09,243.24,244.34,236.49,237.41,69263.89
2015-09-10,237.41,240.63,234.31,238.08,60537.22
2015-09-11,238.08,241.02,237.38,239.9,45773.98
2015-09-12,239.9,240.32,233.32,235.6,43773.9
2015-09-13,235.6,236.16,228.28,230.19,51595.8
2015-09-14,230.19,232.64,225.96,229.91,61097.39
2015-09-15,229.91,242.83,228.03,229.53,49516.04
2015-09-16,229.53,230.89,225.05,228.6,51913.1
2015-09-17,228.6,235.17,227.95,232.72,56060.73
2015-09-18,232.72,234.69,230.58,232.21,53168.52
2015-09-19,232.21,233.35,230.21,231.11,34470.84
2015-09-20,231.11,232.67,229.93,231.09,33153.05
2015-09-21,231.09,231.63,225.0,226.33,53425.18
2015-09-22,226.33,233.24,224.07,230.01,71545.59
